appid,required_age,is_free,price,developers,categories,release_date,genres,name,Historico,review_score,review_score_desc,total_reviews,categories_numerico,genres_numerico
359550,0,True,0,Ubisoft Montreal,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet')",2015-12-01 00:00:00,"('Action', 'Free To Play')",Tom Clancy's Rainbow Six® Siege X,201933,8,Very Positive,620747,"(22, 0, 20, 21, 18, 24, 26, 2, 4, 14, 15)","(0, 1)"
3405690,0,False,62900,EA Canada,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Chat Speech-to-text', 'Adjustable Difficulty', 'Keyboard Only Option', 'Stereo Sound', 'Subtitle Options', 'HDR available')",2025-09-25 00:00:00,"('Simulation', 'Sports')",EA SPORTS FC™ 26,100283,5,Mixed,5657,"(22, 0, 20, 21, 55, 18, 24, 56, 57, 1, 25, 26, 4, 27, 29, 30, 10, 31, 33)","(12, 14)"
221100,17,False,33000,Bohemia Interactive,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled')",2018-12-13 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer')",DayZ,78937,6,Mostly Positive,171209,"(0, 23, 20, 21, 18, 24, 25, 2, 3, 32, 12)","(0, 3, 4)"
227300,0,False,10900,SCS Software,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Keyboard Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing')",2012-10-12 00:00:00,"('Indie', 'Simulation')",Euro Truck Simulator 2,69754,9,Overwhelmingly Positive,132862,"(22, 0, 18, 24, 25, 2, 3, 6, 8, 29, 30, 9, 49, 10, 11, 35, 32, 34, 14, 15, 54, 36)","(7, 12)"
1158310,0,False,35200,Paradox Development Studio,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing')",2020-09-01 00:00:00,"('RPG', 'Simulation', 'Strategy')",Crusader Kings III,98872,8,Very Positive,46121,"(22, 0, 20, 21, 25, 2, 3, 32, 15, 36)","(5, 12, 2)"
2357570,0,True,0,"Blizzard Entertainment, Inc.","('Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Chat Speech-to-text', 'Chat Text-to-speech', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Subtitle Options', 'Surround Sound')",2023-08-10 00:00:00,"('Action', 'Free To Play')",Overwatch® 2,75608,5,Mixed,126,"(0, 20, 21, 18, 24, 1, 25, 26, 4, 5, 6, 27, 28, 7, 8, 9, 10, 31, 11)","(0, 1)"
105600,0,False,5750,Re-Logic,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing')",2011-05-16 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG')",Terraria,489886,9,Overwhelmingly Positive,569200,"(22, 0, 20, 21, 18, 24, 25, 26, 2, 32, 14, 15, 16, 36)","(0, 3, 7, 5)"
2246340,0,False,59900,"CAPCOM Co., Ltd.","('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'HDR available', 'Family Sharing')",2025-02-27 00:00:00,"('Action', 'Adventure', 'RPG')",Monster Hunter Wilds,1384608,5,Mixed,74204,"(22, 0, 18, 24, 1, 25, 26, 2, 5, 6, 7, 8, 30, 10, 31, 11, 32, 33, 36)","(0, 3, 5)"
261550,0,False,29900,TaleWorlds Entertainment,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing')",2022-10-25 00:00:00,"('Action', 'Indie', 'RPG', 'Simulation', 'Strategy')",Mount & Blade II: Bannerlord,248216,8,Very Positive,92491,"(22, 0, 20, 21, 25, 2, 3, 35, 32, 34, 15, 36)","(0, 7, 5, 12, 2)"
261550,0,False,29900,TaleWorlds Entertainment,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing')",2022-10-25 00:00:00,"('Action', 'Indie', 'RPG', 'Simulation', 'Strategy')",Mount & Blade,1918,8,Very Positive,92491,"(22, 0, 20, 21, 25, 2, 3, 35, 32, 34, 15, 36)","(0, 7, 5, 12, 2)"
2073620,0,True,0,Morefun Studios,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases')",2025-09-15 00:00:00,"('Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play')",Arena Breakout: Infinite,66007,0,No user reviews,0,"(0, 23, 20, 21, 18, 24, 25, 2, 4)","(0, 3, 4, 5, 2, 1)"
2300320,0,False,24999,GIANTS Software,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing')",2024-11-12 00:00:00,"('Simulation',)",Farming Simulator 25,135970,8,Very Positive,10759,"(22, 0, 18, 24, 25, 26, 32, 36)","(12,)"
251570,0,False,21500,The Fun Pimps,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Includes level editor', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing')",2024-07-25 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy')",7 Days to Die,125419,8,Very Positive,121241,"(22, 0, 20, 21, 58, 18, 24, 53, 1, 25, 26, 2, 34, 15, 16, 36)","(0, 3, 7, 5, 12, 2)"
294100,0,False,18000,Ludeon Studios,"('Single-player', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing')",2018-10-17 00:00:00,"('Indie', 'Simulation', 'Strategy')",RimWorld,96040,9,Overwhelmingly Positive,111324,"(22, 3, 35, 32, 15, 36)","(7, 12, 2)"
582010,0,False,21900,"CAPCOM Co., Ltd.","('Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Custom Volume Controls', 'Keyboard Only Option', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Tablet', 'HDR available', 'Family Sharing')",2018-08-08 00:00:00,"('Action',)",Monster Hunter: World,334684,8,Very Positive,111685,"(22, 0, 18, 25, 2, 5, 6, 8, 30, 10, 11, 35, 32, 13, 59, 15, 33, 36)","(0,)"
218620,18,False,5750,OVERKILL - a Starbreeze Studio.,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'In-App Purchases', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing')",2013-08-13 00:00:00,"('Action', 'RPG')",PAYDAY 2,247709,8,Very Positive,172424,"(22, 0, 18, 24, 25, 26, 50, 48, 2, 4, 6, 8, 29, 9, 10, 32, 14, 15, 16, 36)","(0, 5)"
1222670,0,True,0,Maxis,"('Single-player', 'Steam Trading Cards', 'Mouse Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Remote Play on Tablet')",2020-06-18 00:00:00,"('Adventure', 'Casual', 'Simulation', 'Free To Play')",The Sims™ 4,96328,8,Very Positive,45440,"(22, 2, 60, 9, 49, 10, 11, 15)","(3, 6, 12, 1)"
632360,0,False,12000,Hopoo Games,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing')",2020-08-11 00:00:00,"('Action', 'Indie')",Risk of Rain 2,75406,8,Very Positive,150682,"(22, 0, 20, 21, 18, 24, 26, 2, 5, 6, 8, 29, 10, 11, 32, 59, 14, 15, 16, 36)","(0, 7)"
